code_insee;nom_officiel;x;y;lon;lat;dist_km
42129;Maclas;788000;2041000;4.73519268;45.34366903;1.5575956769194286
42130;Magneux-Haute-Rive;740000;2073000;4.13234038;45.64296693;1.7174170779272622
42131;Maizilly;748000;2129000;4.25241763;46.1449506;2.441913447459912
42132;Malleval;788000;2049000;4.7383096;45.41560388;2.203456081470059
42133;Marcenod;764000;2065000;4.43731845;45.56566819;1.340368483288437
42134;Marcilly-le-Châtel;732000;2081000;4.03196745;45.71652092;0.5336625359699182
42135;Marclopt;748000;2073000;4.23492016;45.6412762;1.6819926840260093
42136;Marcoux;732000;2081000;4.03196745;45.71652092;0.0
42137;Margerie-Chantagret;732000;2057000;4.02534958;45.50065416;1.3750691921329852
42138;Maringes;756000;2073000;4.33749388;45.6394924;0.8293347288311491
42139;Marlhes;764000;2033000;4.42642565;45.27789337;0.1479109574741214
42140;Marols;732000;2057000;4.02534958;45.50065416;1.3980633125823843
42141;Mars;748000;2129000;4.25241763;46.1449506;0.0
42142;Merle-Leignec;732000;2041000;4.02096668;45.35674863;0.0
42143;Mizérieux;740000;2089000;4.13703828;45.78687676;0.0
42145;Montagny;748000;2113000;4.2473847;46.00104265;0.28129294853372233
42146;Montarcher;732000;2049000;4.02315533;45.42870077;2.538845556039824
42147;Montbrison;740000;2065000;4.13000097;45.57101352;2.1018282556513923
42148;Montchal;756000;2097000;4.34535431;45.85534316;1.606161943782458
42149;Montrond-les-Bains;748000;2073000;4.23492016;45.6412762;0.0
42150;Montverdun;732000;2081000;4.03196745;45.71652092;0.11899263493527291
42151;Mornand-en-Forez;740000;2073000;4.13234038;45.64296693;0.1242236075735944
42152;Nandax;740000;2121000;4.14651146;46.07470039;1.6903033521539321
42153;Neaux;740000;2105000;4.14176228;45.93078841;0.7522407725003516
42154;Néronde;748000;2097000;4.24237874;45.85713483;0.6989412159289621
42155;Nervieux;740000;2089000;4.13703828;45.78687676;0.2395041279757114
42156;Neulise;740000;2105000;4.14176228;45.93078841;0.7146149232862363
42157;Noailly;732000;2129000;4.04536581;46.14826772;0.8043387710994152
42158;Les Noës;716000;2113000;3.8343434;46.00728193;0.1805381413765535
42159;Noirétable;708000;2089000;3.72559546;45.79271582;0.0
42160;Nollieux;732000;2089000;4.0341854;45.78847823;2.8600658188673935
42161;Notre-Dame-de-Boisset;740000;2113000;4.14413412;46.00274427;0.0
42162;Ouches;732000;2113000;4.04087688;46.00435136;1.7365537653594392
42163;La Pacaudière;716000;2129000;3.83828881;46.15120613;2.1339285902184244
42164;Palogneux;724000;2081000;3.92924364;45.71802623;1.5049278714156296
42165;Panissières;756000;2089000;4.3427271;45.78339223;0.0
42166;Parigny;740000;2113000;4.14413412;46.00274427;2.585598306672692
42167;Pavezin;780000;2057000;4.63915913;45.48969539;1.6599984160455858
42168;Pélussin;780000;2049000;4.63616739;45.41775513;0.0
42169;Périgneux;740000;2049000;4.12534072;45.42711011;0.15915962518754226
42170;Perreux;740000;2121000;4.14651146;46.07470039;0.0
